Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
MADRL-SI: a multi-agent deep reinforcement learning-based swarm intelligence approach for coordinating multiple UAVs in smart agriculture systems,International Journal of Information Technology,,,,10.1007/s41870-025-02807-3,Adel Saad AssiriFahad kamal AlsherefMostafa Al GhamdiMohamed Abbassy,2025,https://link.springer.com/article/10.1007/s41870-025-02807-3,Article
A spherical vector-based adaptive evolutionary particle swarm optimization for UAV path planning under threat conditions,Scientific Reports,,,,10.1038/s41598-025-85912-4,Yanfei LiuHao ZhangHao ZhengQi LiQi Tian,2025,https://link.springer.com/article/10.1038/s41598-025-85912-4,Article
Multi-robot Collaborative 3D Path Planning Based On Game Theory and Particle Swarm Optimization Hybrid Method,The Journal of Supercomputing,,,,10.1007/s11227-025-06960-1,Hong QiuWentao YuGan ZhangXuan XiaKun Yao,2025,https://link.springer.com/article/10.1007/s11227-025-06960-1,Article
UAV Path Planning and Trajectory Optimization: A Comprehensive Survey,Arabian Journal for Science and Engineering,,,,10.1007/s13369-025-10971-8,Tarek SheltamiGamil AhmedMustafa GhalebAshraf Mahmoud,2025,https://link.springer.com/article/10.1007/s13369-025-10971-8,Article
UAV path planning based on improved giant armadillo optimisation algorithm,CCF Transactions on Pervasive Computing and Interaction,,,,10.1007/s42486-025-00188-x,Yangyang TianZhe LiLiang JiangHuanlong ZhangYanfeng Wang,2025,https://link.springer.com/article/10.1007/s42486-025-00188-x,Article
Hybrid genetic ant colony optimization algorithm for full-coverage path planning of gardening pruning robots,Intelligent Service Robotics,,,,10.1007/s11370-024-00525-6,Xiaolin XieZixiang YanZhihong ZhangYibo QinHang JinMan Xu,2024,https://link.springer.com/article/10.1007/s11370-024-00525-6,Article
DLC-NGO: an enhanced northern goshawk optimization for 3D UAV path planning in complex environments with multiple threats,Cluster Computing,,,,10.1007/s10586-025-05358-1,Shuai HuangYoufa FuDan LiuJiadui ChenLing HeJie Zhang,2025,https://link.springer.com/article/10.1007/s10586-025-05358-1,Article
Reinforcement Learning for&#xa0;Drone Path Planning: A Bibliometric Analysis,Complex Systems and Their Applications,,,,10.1007/978-3-031-92314-2_6,Susana Borrego-DominguezLaura Jiménez-BeristainEnrique Efrén García-GuerreroJosé Jaime Esqueda-ElizondoCésar Ortega-CorralUlises Jesús Tamayo-PérezDiego Armando Trujillo-ToledoOscar Adrian Aguirre-CastroCésar Alberto López-MercadoEverardo Inzunza-Gonzaález,2025,https://link.springer.com/chapter/10.1007/978-3-031-92314-2_6,Conference paper
AI-Powered Crop Monitoring for&#xa0;Precision Agriculture,"Distributed Computing and Artificial Intelligence, 21st International Conference",,,,10.1007/978-3-031-82073-1_26,Saifeldin HassanZainab KhanAbhilasha SinghJinane MounsefOmar Abdul Latif,2025,https://link.springer.com/chapter/10.1007/978-3-031-82073-1_26,Conference paper
Efficient multi-UAV path planning in dynamic and complex environments using hybrid polar lights optimization,Journal of King Saud University Computer and Information Sciences,,,,10.1007/s44443-025-00139-7,Ziyin XuZhilin WangRui LiuChenliang HuangYuxiang ShiMingjing WangHuiling Chen,2025,https://link.springer.com/article/10.1007/s44443-025-00139-7,Article
Variable scale operational path planning for land levelling based on the improved ant colony optimization algorithm,Scientific Reports,,,,10.1038/s41598-025-94008-y,Wenming ChenJiaxin YangShaocen ZhangXinhua WeiChengliang LiuXinying ZhouLei SunFei WangAnzhe Wang,2025,https://link.springer.com/article/10.1038/s41598-025-94008-y,Article
"Cumulative Major Advances in Particle Swarm Optimization from 2018 to the Present: Variants, Analysis and Applications",Archives of Computational Methods in Engineering,,,,10.1007/s11831-024-10185-5,Donglin ZhuRui LiYangyang ZhengChangjun ZhouTaiyong LiShi Cheng,2025,https://link.springer.com/article/10.1007/s11831-024-10185-5,Article
Drone Swarm Coordination Using Machine Learning in IoT Networks,Machine Learning for Drone-Enabled IoT Networks,,,,10.1007/978-3-031-80961-3_3,Divyesh DivakarKanmaniA. V. Supriya,2025,https://link.springer.com/chapter/10.1007/978-3-031-80961-3_3,Chapter
UAV Swarm Objectives: A Critical Analysis and Comprehensive Review,SN Computer Science,,,,10.1007/s42979-024-03156-x,Preethika Ajay KumarNandana ManojNeeraj SudheerPranamya P. BhatArti AryaRicha Sharma,2024,https://link.springer.com/article/10.1007/s42979-024-03156-x,Article
AI-ML Applications in Agriculture and Food Processing,Food and Industry 5.0: Transforming the Food System for a Sustainable Future,,,,10.1007/978-3-031-76758-6_2,Kushagra AgrawalNavneet Kumar,2025,https://link.springer.com/chapter/10.1007/978-3-031-76758-6_2,Chapter
A bio-inspired swarm UAV framework integrating thermal sensing and optimization-based coordination for efficient search and rescue operations,Scientific Reports,,,,10.1038/s41598-025-33223-z,Abbas  Aqeel  KareemAhmed  Jabbar  AbidDalal  Abdulmohsin HammoodRaaid  AlubadySalam  J.  YaqoobOmar  AlmomaniOleksandr Rubanenko,2025,https://link.springer.com/article/10.1038/s41598-025-33223-z,Article
Hybrid golden Jackal and moth flame optimization algorithm based coverage path planning in heterogeneous UAV networks,Scientific Reports,,,,10.1038/s41598-025-15345-6,K. KarthikC. BalasubramanianR. Praveen,2025,https://link.springer.com/article/10.1038/s41598-025-15345-6,Article
Dynamic Q-planning for online UAV path planning in unknown and complex environments,International Journal of Intelligent Robotics and Applications,,,,10.1007/s41315-025-00457-z,Lidia G. S. RochaKenny A. Q. CaldasMarco H. TerraFabio RamosKelen C. Teixeira Vivaldini,2025,https://link.springer.com/article/10.1007/s41315-025-00457-z,Article
Optimizing drone-based pollination method by using efficient target detection and path planning for complex durian orchards,Scientific Reports,,,,10.1038/s41598-025-04370-0,Ruipeng TangJianxun TangMohamad Sofian Abu TalipNarendra Kumar AridasBinghong Guan,2025,https://link.springer.com/article/10.1038/s41598-025-04370-0,Article
Exponential-trigonometric optimization algorithm with multi-strategy fusion for UAV three-dimensional path planning,The Journal of Supercomputing,,,,10.1007/s11227-025-07335-2,Tao XuChaoyue ChenFanfan MengDongdong Ma,2025,https://link.springer.com/article/10.1007/s11227-025-07335-2,Article
Optimized 3D path planning for UAVs using a multi-strategy snow&#xa0;avalanches algorithm,Journal of King Saud University Computer and Information Sciences,,,,10.1007/s44443-025-00224-x,Yulong XuYuanbin Mo,2025,https://link.springer.com/article/10.1007/s44443-025-00224-x,Article
HPSO-WOA-SFO: A Novel Hybrid Swarm Intelligence Approach for&#xa0;Enhancing Discrete Road Path Planning,IoT as a Service,,,,10.1007/978-3-031-70507-6_29,You WuXi HuGuosheng Zhu,2025,https://link.springer.com/chapter/10.1007/978-3-031-70507-6_29,Conference paper
A survey on task scheduling and optimization techniques for IoT-enabled UAV with Edge / Fog computing,Telecommunication Systems,,,,10.1007/s11235-025-01320-z,Aram SatoufAli HamidoğluOmer Melih GulAlar KuusikSeifedine Nimer KadryAli Elghirani,2025,https://link.springer.com/article/10.1007/s11235-025-01320-z,Article
Joint Localization and Data-Based Path Planning for UAV-Assisted IoT Networks: A Heuristic Approach,SN Computer Science,,,,10.1007/s42979-025-03721-y,Henda HnaienAhmed AboudHaifa TouatiHichem Snoussi,2025,https://link.springer.com/article/10.1007/s42979-025-03721-y,Article
Smart weather aware drone sink SWADS for reliable and energy efficient agricultural wireless sensor networks,Scientific Reports,,,,10.1038/s41598-025-31821-5,Yasser FouadSafia AbbasNada AhmedAsmaa N. GhareebEnas Selem,2025,https://link.springer.com/article/10.1038/s41598-025-31821-5,Article
Improved whale optimization path planning design for multi-UAVs based on Pareto strategy,The Journal of Supercomputing,,,,10.1007/s11227-025-08079-9,Lingyu ChengFang WangChao Zhou,2025,https://link.springer.com/article/10.1007/s11227-025-08079-9,Article
Enhancing Capabilities and Security Features of Drone Networks Through Machine Learning: A Comprehensive Overview,Machine Learning for Drone-Enabled IoT Networks,,,,10.1007/978-3-031-80961-3_5,Dipta GomesManzurul HasanSupta Richard Philip,2025,https://link.springer.com/chapter/10.1007/978-3-031-80961-3_5,Chapter
Improved grey wolf algorithm based on dynamic weight and logistic mapping for safe path planning of UAV low-altitude penetration,The Journal of Supercomputing,,,,10.1007/s11227-024-06430-0,Siwei WangDonglin ZhuChangjun ZhouGaoji Sun,2024,https://link.springer.com/article/10.1007/s11227-024-06430-0,Article
Formation control and path planning of multi-robot systems via large language models,Science China Information Sciences,,,,10.1007/s11432-024-4290-4,Dong XueXuanjie ZhouMing WangFangzhou Liu,2025,https://link.springer.com/article/10.1007/s11432-024-4290-4,Article
Drone Path-Planning Leveraging Cohort Intelligence Algorithm,Optimization Techniques for Sustainable Environment Under Uncertainty,,,,10.1007/978-981-96-0389-3_8,Aryan BhusariAnand J. Kulkarni,2025,https://link.springer.com/chapter/10.1007/978-981-96-0389-3_8,Chapter
Intelligent Multi-Agent Systems for&#xa0;UAV-Robot Path Optimization via&#xa0;Reflective Evolution,"Parallel and Distributed Computing, Applications and Technologies",,,,10.1007/978-981-96-4207-6_51,Yijie ChenKexin ZhuZhide ChenChen FengZhengjie Zhuang,2025,https://link.springer.com/chapter/10.1007/978-981-96-4207-6_51,Conference paper
"Review on&#xa0;Agricultural Robotics for&#xa0;Carbon Emission Reduction: A Synergistic Perspective on&#xa0;Technology, Sustainability, and&#xa0;Art",Advances in Service and Industrial Robotics,,,,10.1007/978-3-032-02106-9_68,Giancarlo FurcieriGiuseppe CulottaDavide GerbinoAntonio FranceschielliAdriano Fagiolini,2025,https://link.springer.com/chapter/10.1007/978-3-032-02106-9_68,Conference paper
Optimization of UAV Flight Paths in Multi-UAV Networks for Efficient Data Collection,Arabian Journal for Science and Engineering,,,,10.1007/s13369-024-09369-9,Mohamed AbidSaid El KafhaliAbdellah AmzilMohamed Hanini,2024,https://link.springer.com/article/10.1007/s13369-024-09369-9,Article
Research on Joint Optimization Model of Drone Trajectory and Power for SAGIN Swarm Intelligence Technology,6GN for Future Wireless Networks,,,,10.1007/978-3-031-93193-2_10,Zhenyu XuXiuLian LinXinLu Li,2025,https://link.springer.com/chapter/10.1007/978-3-031-93193-2_10,Conference paper
A novel marine predator algorithm for path planning of UAVs,The Journal of Supercomputing,,,,10.1007/s11227-025-07002-6,Rong GongHuaming GongLila HongTanghui LiChangcheng Xiang,2025,https://link.springer.com/article/10.1007/s11227-025-07002-6,Article
Evolutionary computation for unmanned aerial vehicle path planning: a survey,Artificial Intelligence Review,,,,10.1007/s10462-024-10913-0,Yi JiangXin-Xin XuMin-Yi ZhengZhi-Hui Zhan,2024,https://link.springer.com/article/10.1007/s10462-024-10913-0,Article
Path Planning of Autonomous Pollination Using Heredity Algorithm for Intelligent Agriculture,Advances in Intelligent Manufacturing and Robotics,,,,10.1007/978-981-99-8498-5_30,Zhaochen WangXiaoyan GaoHanling WangYi Chen,2024,https://link.springer.com/chapter/10.1007/978-981-99-8498-5_30,Conference paper
A Review of&#xa0;Path Planning Algorithms,Intelligent Systems Design and Applications,,,,10.1007/978-3-031-64850-2_11,Yomna BEN JMAADavid DUVIVIER,2024,https://link.springer.com/chapter/10.1007/978-3-031-64850-2_11,Conference paper
Intelligent Planning of UAV Flocks via Transfer Learning and Multi-objective Optimization,Arabian Journal for Science and Engineering,,,,10.1007/s13369-025-10064-6,Fahad FarooqZain Anwar AliMuhammad ShafiqAmber IsrarRaza Hasan,2025,https://link.springer.com/article/10.1007/s13369-025-10064-6,Article
Reinforcement Learning of Emerging Swarm Technologies: A Literature Review,"Proceedings of the Future Technologies Conference (FTC) 2024, Volume 3",,,,10.1007/978-3-031-73125-9_31,Afnan M. AlharbiGhaida AlshehriSalma Elhag,2024,https://link.springer.com/chapter/10.1007/978-3-031-73125-9_31,Conference paper
Analysis of Path Finding Techniques for Flying Robots through Intelligent Decision-Making Algorithms in Quantum Inspired Computing Environment,Wireless Personal Communications,,,,10.1007/s11277-024-11125-z,Ritu MaityRuby MishraPrasant Kumar Pattnaik,2024,https://link.springer.com/article/10.1007/s11277-024-11125-z,Article
Improved Artificial Rabbit Optimization Algorithm Fused with Particle Swarm Optimization for Wireless Sensor Network Coverage Optimization,Journal of Shanghai Jiaotong University (Science),,,,10.1007/s12204-024-2574-x,Jin WuZhengdong Su,2024,https://link.springer.com/article/10.1007/s12204-024-2574-x,Article
Global and Local Moth-flame Optimization Algorithm for UAV Formation Path Planning Under Multi-constraints,"International Journal of Control, Automation and Systems",,,,10.1007/s12555-020-0979-3,Xiao-Jing WuLei XuRan ZhenXue-Li Wu,2023,https://link.springer.com/article/10.1007/s12555-020-0979-3,Article
"AI Integration in Drone Technology: Revolutionizing Applications in Agriculture, Security, and Beyond",Unmanned Aerial Vehicles Swarm for Protecting Smart Cities,,,,10.1007/979-8-8688-1047-3_18,Faisal RehmanAsna RabailMuhammad Hamza SajjadShanza Gul,2025,https://link.springer.com/chapter/10.1007/979-8-8688-1047-3_18,Chapter
"UAV swarms: research, challenges, and future directions",Journal of Engineering and Applied Science,,,,10.1186/s44147-025-00582-3,Yunes AlqudsiMurat Makaraci,2025,https://link.springer.com/article/10.1186/s44147-025-00582-3,Article
